,이름,년도,팀,war,경기수,완봉,완투,선발,승,패,세이브,홀드,inning,실점,ERA,FIP,WHIP,ERA_plus,FIP_plus,자책,볼넷,홈런,삼진,연봉
39,해커,15,N,5.64,31.0,1.0,0.0,31.0,19.0,5.0,0.0,0.0,204.0,81.0,3.13,3.78,1.03,152.9,129.0,71.0,36.0,14.0,164.0,60000.0
40,이상목,3,한,5.6,33.0,1.0,1.0,29.0,15.0,7.0,1.0,1.0,185.1,78.0,3.54,3.25,1.25,122.5,133.6,73.0,29.0,18.0,118.0,6500.0
41,리오스,6,두,5.58,34.0,4.0,1.0,33.0,12.0,16.0,0.0,0.0,233.0,86.0,2.9,3.05,1.09,123.5,117.3,75.0,49.0,14.0,145.0,0.0
42,장원삼,8,히,5.57,27.0,2.0,2.0,27.0,12.0,8.0,0.0,0.0,167.1,54.0,2.85,3.38,1.21,148.6,125.3,53.0,57.0,9.0,126.0,8000.0
43,그레이싱어,6,K,5.52,29.0,2.0,0.0,29.0,14.0,12.0,0.0,0.0,188.0,65.0,3.02,2.59,1.05,120.1,139.9,63.0,47.0,10.0,164.0,0.0
44,김진우,3,K,5.45,24.0,4.0,2.0,24.0,11.0,5.0,0.0,0.0,169.1,68.0,3.45,3.04,1.26,123.9,141.0,65.0,63.0,9.0,146.0,5000.0
45,김광현,8,S,5.43,27.0,1.0,1.0,27.0,16.0,4.0,0.0,0.0,162.0,50.0,2.39,3.21,1.17,169.8,126.6,43.0,63.0,9.0,150.0,4000.0
46,장원준,17,두,5.4,29.0,1.0,1.0,29.0,14.0,9.0,0.0,0.0,180.1,70.0,3.14,4.26,1.24,153.1,114.0,63.0,51.0,12.0,125.0,100000.0
47,피어밴드,17,k,5.34,26.0,1.0,1.0,26.0,8.0,10.0,0.0,0.0,160.0,67.0,3.04,4.42,1.15,167.0,112.8,54.0,31.0,20.0,132.0,35000.0
48,봉중근,9,L,5.32,26.0,0.0,0.0,26.0,11.0,12.0,0.0,0.0,172.1,70.0,3.29,3.93,1.26,144.8,121.2,63.0,57.0,13.0,127.0,36000.0
49,리즈,13,L,5.29,32.0,2.0,1.0,32.0,10.0,13.0,0.0,0.0,202.2,78.0,3.06,3.8,1.19,138.5,111.8,69.0,88.0,11.0,188.0,0.0
50,윤석민,8,K,5.29,24.0,1.0,0.0,23.0,14.0,5.0,0.0,1.0,154.2,45.0,2.33,3.34,1.05,176.0,122.6,40.0,42.0,10.0,119.0,11000.0
51,김광현,18,S,5.28,25.0,0.0,0.0,25.0,11.0,8.0,0.0,0.0,136.0,48.0,2.98,4.16,1.14,176.5,127.4,45.0,30.0,16.0,130.0,140000.0
52,세든,13,S,5.28,30.0,1.0,0.0,30.0,14.0,6.0,0.0,0.0,187.1,65.0,2.98,3.96,1.29,145.7,109.7,62.0,73.0,14.0,160.0,0.0
