,이름,년도,팀,war,경기수,완봉,완투,선발,승,패,세이브,홀드,inning,실점,ERA,FIP,WHIP,ERA_plus,FIP_plus,자책,볼넷,홈런,삼진,연봉
710,임경완,7,롯,1.64,65.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,74.2,28.0,3.25,3.47,1.45,117.6,110.1,27.0,35.0,2.0,52.0,9500.0
711,송승준,14,롯,1.64,24.0,0.0,0.0,23.0,8.0,11.0,0.0,0.0,122.0,91.0,5.98,5.41,1.71,91.2,98.8,81.0,43.0,16.0,89.0,36000.0
712,임창민,15,N,1.64,61.0,0.0,0.0,0.0,1.0,5.0,31.0,0.0,64.0,28.0,3.8,3.73,1.22,126.2,130.7,27.0,21.0,7.0,72.0,17400.0
713,김원형,8,S,1.64,42.0,0.0,0.0,4.0,12.0,6.0,2.0,2.0,74.1,28.0,3.15,4.14,1.29,128.9,97.9,26.0,23.0,6.0,41.0,25000.0
714,이정훈,13,넥,1.64,56.0,0.0,0.0,0.0,5.0,2.0,1.0,11.0,69.0,25.0,3.0,4.58,1.35,145.2,95.1,23.0,24.0,5.0,29.0,10000.0
715,송신영,13,넥,1.63,61.0,0.0,0.0,0.0,4.0,3.0,1.0,15.0,61.2,22.0,3.21,4.16,1.38,133.8,104.6,22.0,33.0,1.0,43.0,30000.0
716,노장진,5,롯,1.63,35.0,0.0,0.0,0.0,1.0,2.0,18.0,0.0,33.0,9.0,2.45,1.77,0.79,167.8,232.2,9.0,7.0,3.0,52.0,28000.0
717,손영민,8,K,1.63,50.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0,64.0,27.0,3.66,3.07,1.36,112.1,133.4,26.0,22.0,2.0,56.0,2800.0
718,윤명준,19,두,1.63,69.0,0.0,0.0,0.0,6.0,2.0,1.0,14.0,68.1,23.0,2.63,3.73,1.22,155.8,110.3,20.0,20.0,3.0,40.0,11500.0
719,염종석,4,롯,1.63,21.0,0.0,0.0,21.0,3.0,6.0,0.0,0.0,102.0,58.0,4.59,4.12,1.4,93.1,103.8,52.0,30.0,10.0,55.0,15000.0
720,윌랜드,19,K,1.62,28.0,0.0,0.0,28.0,8.0,10.0,0.0,0.0,165.0,95.0,4.75,4.23,1.52,88.4,99.0,87.0,59.0,17.0,137.0,900000.0
721,정재훈,16,두,1.62,46.0,0.0,0.0,0.0,1.0,5.0,2.0,23.0,52.1,21.0,3.27,3.6,1.15,156.4,140.9,19.0,17.0,3.0,56.0,900000.0
722,차우찬,15,삼,1.62,31.0,0.0,0.0,29.0,13.0,7.0,0.0,1.0,173.0,98.0,4.79,4.83,1.35,103.2,101.8,92.0,74.0,28.0,194.0,40000.0
723,정재복,5,L,1.62,65.0,0.0,0.0,0.0,5.0,3.0,4.0,14.0,79.0,39.0,4.1,3.53,1.42,101.5,117.8,36.0,36.0,5.0,63.0,3600.0
724,정현욱,12,삼,1.62,54.0,0.0,0.0,1.0,2.0,5.0,0.0,3.0,62.2,25.0,3.16,2.74,1.25,120.8,139.5,22.0,21.0,1.0,48.0,25000.0
725,윤길현,14,S,1.62,59.0,0.0,0.0,0.0,3.0,3.0,7.0,9.0,57.2,27.0,3.9,4.65,1.34,130.8,111.8,25.0,28.0,7.0,63.0,14500.0
726,이재우,4,두,1.62,33.0,0.0,0.0,4.0,6.0,3.0,0.0,0.0,89.1,44.0,4.43,4.07,1.31,94.5,103.0,44.0,32.0,8.0,56.0,3200.0
727,윤길현,6,S,1.62,32.0,0.0,0.0,24.0,5.0,9.0,1.0,2.0,140.2,66.0,3.9,3.89,1.28,90.1,90.4,61.0,54.0,13.0,91.0,5600.0
728,전준호,3,현,1.62,19.0,0.0,0.0,11.0,4.0,2.0,0.0,0.0,68.2,31.0,3.93,3.87,1.33,109.9,111.7,30.0,25.0,7.0,51.0,5500.0
729,유원상,14,L,1.62,66.0,0.0,0.0,0.0,4.0,5.0,0.0,16.0,68.0,35.0,4.37,4.62,1.32,113.4,109.1,33.0,23.0,6.0,49.0,7500.0
730,최영필,7,한,1.61,33.0,0.0,0.0,12.0,5.0,5.0,2.0,1.0,99.2,50.0,4.33,4.05,1.6,92.8,99.4,48.0,39.0,7.0,48.0,11300.0
731,정대현,3,S,1.61,37.0,0.0,0.0,0.0,4.0,3.0,2.0,8.0,51.0,16.0,2.29,3.45,0.98,181.8,121.0,13.0,17.0,4.0,34.0,2900.0
732,오주원,19,키,1.61,57.0,0.0,0.0,0.0,3.0,3.0,18.0,3.0,54.1,17.0,2.32,2.69,1.12,178.5,155.1,14.0,7.0,1.0,41.0,15000.0
733,정민철,5,한,1.61,25.0,0.0,0.0,25.0,9.0,3.0,0.0,0.0,115.2,70.0,4.82,4.45,1.3,90.8,98.4,62.0,26.0,14.0,56.0,25000.0
734,왈론드,10,두,1.61,29.0,0.0,0.0,21.0,7.0,9.0,0.0,0.0,129.0,84.0,4.95,4.53,1.53,91.8,100.3,71.0,54.0,13.0,100.0,0.0
735,채병용,12,S,1.61,14.0,0.0,0.0,10.0,3.0,3.0,0.0,0.0,62.2,22.0,3.16,3.3,1.42,120.6,115.6,22.0,22.0,3.0,42.0,18000.0
736,심동섭,11,K,1.6,57.0,0.0,0.0,0.0,3.0,1.0,2.0,7.0,55.1,21.0,2.77,2.85,1.23,149.5,145.1,17.0,31.0,1.0,67.0,2500.0
737,마리오,12,S,1.6,18.0,0.0,0.0,18.0,6.0,3.0,0.0,0.0,95.1,38.0,3.4,4.22,1.33,112.1,90.4,36.0,39.0,6.0,49.0,0.0
738,김민기,7,L,1.6,69.0,0.0,0.0,0.0,7.0,5.0,1.0,17.0,88.1,44.0,4.28,3.25,1.44,90.8,119.5,42.0,24.0,3.0,43.0,6600.0
739,강철민,4,K,1.6,31.0,1.0,0.0,26.0,8.0,12.0,1.0,0.0,145.1,94.0,5.33,4.52,1.51,82.0,96.5,86.0,61.0,14.0,86.0,4400.0
740,금민철,8,두,1.59,44.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,59.1,20.0,2.28,3.39,1.4,179.9,120.9,15.0,29.0,1.0,49.0,4700.0
741,카라이어,6,L,1.59,32.0,0.0,0.0,3.0,2.0,6.0,2.0,11.0,52.2,21.0,3.25,2.36,1.06,109.2,150.2,19.0,11.0,3.0,48.0,0.0
742,이동현,10,L,1.59,68.0,0.0,0.0,0.0,7.0,3.0,4.0,15.0,74.0,38.0,3.53,4.06,1.34,128.9,112.1,29.0,34.0,5.0,58.0,5200.0
743,김경태,4,S,1.59,21.0,0.0,0.0,2.0,5.0,2.0,0.0,4.0,38.2,10.0,2.33,2.79,0.83,180.7,150.6,10.0,9.0,0.0,21.0,2200.0
744,저마노,15,k,1.58,15.0,0.0,0.0,14.0,3.0,6.0,0.0,1.0,76.2,46.0,4.93,4.46,1.64,101.9,109.4,42.0,15.0,7.0,40.0,900000.0
745,카브레라,4,S,1.58,38.0,0.0,0.0,15.0,4.0,4.0,12.0,0.0,102.2,57.0,4.65,4.09,1.45,90.5,102.9,53.0,50.0,8.0,85.0,0.0
746,티포드,14,L,1.58,20.0,0.0,0.0,19.0,5.0,6.0,0.0,0.0,99.2,64.0,5.24,4.98,1.57,94.5,101.3,58.0,51.0,9.0,85.0,900000.0
747,배영수,8,삼,1.58,27.0,0.0,0.0,23.0,9.0,8.0,0.0,0.0,114.2,59.0,4.55,4.68,1.44,91.2,88.6,58.0,38.0,15.0,71.0,30000.0
748,김상진,2,S,1.57,32.0,0.0,0.0,16.0,6.0,5.0,0.0,2.0,116.2,62.0,4.71,4.61,1.29,89.4,91.2,61.0,29.0,21.0,95.0,15000.0
749,조용준,5,현,1.57,49.0,0.0,0.0,0.0,2.0,1.0,27.0,0.0,52.1,21.0,3.27,3.44,1.28,131.3,124.9,19.0,20.0,6.0,61.0,20000.0
750,임창용,18,K,1.57,37.0,0.0,0.0,12.0,5.0,5.0,4.0,4.0,86.1,54.0,5.42,5.65,1.4,94.7,91.2,52.0,29.0,16.0,84.0,900000.0
751,강윤구,12,넥,1.56,27.0,1.0,0.0,21.0,4.0,7.0,0.0,0.0,125.2,58.0,4.08,4.44,1.3,93.9,86.3,57.0,74.0,14.0,127.0,3800.0
752,이명우,13,롯,1.56,74.0,0.0,0.0,0.0,2.0,4.0,1.0,20.0,55.2,19.0,3.07,4.07,1.19,142.3,107.4,19.0,25.0,2.0,32.0,9000.0
753,한현희,13,넥,1.56,69.0,0.0,0.0,0.0,5.0,0.0,1.0,27.0,67.1,27.0,3.21,4.51,1.32,135.8,96.7,24.0,25.0,7.0,56.0,5000.0
754,한현희,12,넥,1.56,43.0,0.0,0.0,4.0,3.0,4.0,0.0,7.0,69.1,26.0,3.12,3.72,1.1,123.0,102.9,24.0,22.0,4.0,54.0,0.0
755,송은범,12,S,1.56,20.0,0.0,0.0,19.0,8.0,3.0,0.0,0.0,97.2,45.0,4.15,3.84,1.45,91.9,99.2,45.0,44.0,6.0,72.0,24000.0
756,유동훈,10,K,1.55,48.0,0.0,0.0,0.0,3.0,2.0,14.0,1.0,47.1,20.0,2.85,3.03,1.18,159.9,150.4,15.0,10.0,1.0,32.0,21000.0
757,제춘모,2,S,1.55,30.0,0.0,0.0,27.0,9.0,7.0,0.0,0.0,146.0,90.0,4.68,4.56,1.4,89.8,92.2,76.0,51.0,18.0,93.0,0.0
758,전유수,14,S,1.55,67.0,0.0,0.0,0.0,7.0,4.0,0.0,5.0,84.2,51.0,5.0,5.16,1.61,102.2,101.5,47.0,37.0,11.0,72.0,5000.0
759,지크,16,K,1.54,30.0,0.0,0.0,29.0,10.0,13.0,0.0,0.0,152.0,104.0,5.27,4.96,1.68,98.3,105.4,89.0,68.0,16.0,125.0,900000.0
760,윤규진,5,한,1.54,53.0,0.0,0.0,0.0,4.0,4.0,5.0,9.0,67.1,29.0,3.34,4.06,1.44,131.0,108.0,25.0,28.0,6.0,55.0,4300.0
761,윤길현,8,S,1.54,55.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,49.2,17.0,2.9,2.95,1.21,139.9,137.6,16.0,23.0,1.0,49.0,12000.0
762,울프,14,S,1.54,23.0,0.0,0.0,13.0,2.0,2.0,4.0,0.0,85.1,48.0,4.85,5.58,1.35,105.2,94.1,46.0,27.0,10.0,41.0,900000.0
763,구창모,16,N,1.54,39.0,0.0,0.0,9.0,4.0,1.0,0.0,1.0,68.2,32.0,4.19,5.25,1.43,121.4,98.1,32.0,37.0,9.0,67.0,2700.0
764,어센시오,14,K,1.53,46.0,0.0,0.0,0.0,4.0,1.0,20.0,0.0,46.2,24.0,4.05,3.88,1.35,128.9,137.0,21.0,14.0,5.0,56.0,900000.0
765,정대현,12,롯,1.53,24.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,28.1,2.0,0.64,1.8,0.67,603.3,213.2,2.0,7.0,0.0,26.0,50000.0
766,장문석,3,L,1.53,39.0,0.0,0.0,13.0,9.0,6.0,0.0,8.0,100.1,49.0,4.4,4.54,1.52,94.5,91.4,49.0,40.0,12.0,53.0,13500.0
767,이명우,12,롯,1.52,74.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,52.2,16.0,2.56,3.1,1.29,149.5,123.5,15.0,17.0,1.0,32.0,4500.0
768,유원상,8,한,1.52,32.0,0.0,0.0,21.0,5.0,4.0,0.0,1.0,123.2,71.0,4.66,4.61,1.66,91.1,92.0,64.0,77.0,8.0,77.0,3000.0
769,홍건희,16,K,1.52,50.0,0.0,0.0,9.0,4.0,4.0,4.0,5.0,90.1,53.0,4.98,4.72,1.59,104.0,110.8,50.0,41.0,10.0,83.0,4500.0
770,진필중,2,두,1.52,54.0,0.0,0.0,0.0,4.0,5.0,31.0,0.0,62.1,28.0,3.47,3.48,1.22,118.8,118.2,24.0,16.0,8.0,58.0,23000.0
771,김진성,16,N,1.52,69.0,0.0,0.0,0.0,6.0,8.0,1.0,14.0,84.1,44.0,4.48,4.37,1.13,113.6,116.9,42.0,16.0,15.0,100.0,15000.0
772,이용훈,5,롯,1.52,22.0,0.0,0.0,19.0,7.0,9.0,1.0,0.0,106.0,63.0,5.01,3.87,1.31,82.2,106.3,59.0,45.0,12.0,106.0,3800.0
773,심창민,12,삼,1.52,37.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,39.1,8.0,1.83,2.47,1.09,208.6,154.7,8.0,17.0,0.0,41.0,2400.0
774,피코타,3,한,1.51,41.0,0.0,0.0,1.0,3.0,6.0,15.0,0.0,56.0,26.0,3.86,3.24,1.45,112.6,133.9,24.0,19.0,5.0,43.0,0.0
775,최영필,16,K,1.51,54.0,0.0,0.0,3.0,4.0,3.0,2.0,10.0,57.1,26.0,3.61,3.85,1.43,143.4,136.6,23.0,8.0,6.0,54.0,13000.0
776,김수경,11,넥,1.51,18.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,69.0,27.0,3.39,4.25,1.26,121.2,96.7,26.0,22.0,6.0,37.0,11000.0
777,임창용,17,K,1.51,51.0,0.0,0.0,0.0,8.0,6.0,7.0,9.0,50.0,22.0,3.78,3.7,1.46,131.4,135.5,21.0,22.0,3.0,58.0,50000.0
778,장필준,18,삼,1.51,61.0,0.0,0.0,0.0,5.0,5.0,6.0,13.0,66.1,35.0,4.34,4.09,1.36,122.2,127.5,32.0,25.0,6.0,74.0,6500.0
779,전유수,15,S,1.5,66.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,77.2,39.0,4.4,4.58,1.39,109.7,105.6,38.0,42.0,9.0,84.0,13000.0
780,오상민,9,L,1.5,63.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,48.0,18.0,3.0,3.31,1.31,158.8,143.8,16.0,14.0,4.0,44.0,5000.0
781,전병호,3,삼,1.5,45.0,0.0,0.0,15.0,8.0,4.0,1.0,6.0,102.0,59.0,5.03,4.36,1.44,86.8,100.1,57.0,37.0,13.0,54.0,8500.0
782,이왕기,5,롯,1.49,51.0,0.0,0.0,0.0,5.0,3.0,3.0,6.0,65.0,30.0,4.02,3.28,1.12,102.5,125.6,29.0,21.0,5.0,63.0,0.0
783,전병호,6,삼,1.49,35.0,0.0,0.0,21.0,10.0,8.0,0.0,2.0,134.0,69.0,3.9,3.87,1.44,92.9,93.6,58.0,47.0,10.0,65.0,15000.0
784,헤일,18,한,1.49,12.0,0.0,0.0,12.0,3.0,4.0,0.0,0.0,66.1,35.0,4.34,4.69,1.28,122.0,113.6,32.0,17.0,8.0,55.0,900000.0
785,박정배,12,S,1.48,37.0,0.0,0.0,3.0,4.0,3.0,0.0,3.0,77.1,29.0,3.14,4.19,1.06,121.3,90.9,27.0,30.0,6.0,48.0,2600.0
786,김승회,12,두,1.48,24.0,0.0,0.0,19.0,6.0,7.0,0.0,0.0,120.1,62.0,4.04,4.02,1.22,94.7,95.2,54.0,38.0,9.0,62.0,6500.0
787,임기준,18,K,1.48,55.0,0.0,0.0,0.0,5.0,1.0,2.0,8.0,56.0,27.0,3.54,5.24,1.46,145.2,98.4,22.0,23.0,7.0,45.0,6000.0
788,신재웅,14,L,1.47,57.0,0.0,0.0,2.0,8.0,3.0,0.0,8.0,64.0,29.0,3.8,5.15,1.38,130.4,97.3,27.0,26.0,7.0,46.0,8000.0
789,김승회,6,두,1.47,61.0,0.0,0.0,1.0,6.0,5.0,0.0,10.0,79.2,41.0,3.95,2.97,1.48,90.5,120.6,35.0,36.0,4.0,68.0,2500.0
790,류택현,4,L,1.47,85.0,0.0,0.0,0.0,0.0,3.0,1.0,17.0,50.2,22.0,3.38,2.61,1.4,124.4,160.6,19.0,22.0,2.0,53.0,0.0
791,정재훈,8,두,1.46,42.0,0.0,0.0,3.0,3.0,3.0,18.0,0.0,53.0,22.0,3.23,3.19,1.13,126.9,128.5,19.0,16.0,2.0,39.0,17500.0
792,이보근,9,히,1.46,52.0,0.0,0.0,1.0,7.0,7.0,7.0,4.0,88.2,50.0,4.26,4.72,1.33,113.2,102.2,42.0,44.0,9.0,58.0,2300.0
793,김사율,12,롯,1.46,50.0,0.0,0.0,0.0,2.0,3.0,34.0,1.0,45.1,16.0,2.98,3.21,1.24,128.7,119.3,15.0,11.0,4.0,43.0,13000.0
794,차우찬,19,L,1.46,29.0,0.0,0.0,28.0,13.0,8.0,0.0,0.0,168.1,87.0,4.12,4.31,1.43,99.7,94.1,77.0,59.0,16.0,124.0,100000.0
795,주형광,4,롯,1.46,11.0,0.0,0.0,11.0,4.0,4.0,0.0,0.0,63.1,26.0,3.41,4.26,1.17,125.2,100.3,24.0,21.0,8.0,45.0,8000.0
796,임정우,15,L,1.46,54.0,0.0,0.0,11.0,6.0,9.0,5.0,3.0,109.0,65.0,5.04,4.4,1.59,93.2,107.4,61.0,50.0,8.0,99.0,12500.0
797,채병용,5,S,1.46,26.0,0.0,0.0,23.0,8.0,8.0,0.0,1.0,121.0,63.0,4.24,4.9,1.3,97.4,84.3,57.0,54.0,18.0,96.0,0.0
798,이상목,8,삼,1.46,31.0,0.0,0.0,21.0,6.0,6.0,0.0,1.0,124.2,79.0,5.34,4.05,1.45,77.7,102.6,74.0,29.0,8.0,53.0,10000.0
799,정대현,5,S,1.46,20.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,24.1,1.0,0.37,2.28,0.66,1116.7,181.5,1.0,6.0,0.0,18.0,7000.0
800,최성영,19,N,1.45,26.0,0.0,0.0,15.0,4.0,1.0,0.0,2.0,82.1,39.0,3.94,4.27,1.54,107.1,98.9,36.0,48.0,3.0,62.0,2900.0
801,이현승,17,두,1.45,57.0,0.0,0.0,0.0,3.0,2.0,5.0,9.0,52.0,23.0,3.98,4.25,1.5,120.9,113.8,23.0,16.0,4.0,38.0,40000.0
803,조용준,3,현,1.45,47.0,0.0,0.0,0.0,2.0,7.0,26.0,1.0,53.2,26.0,3.52,3.23,1.3,122.7,133.9,21.0,18.0,4.0,39.0,6050.0
804,임경완,11,롯,1.44,72.0,0.0,0.0,0.0,4.0,3.0,0.0,18.0,65.2,28.0,3.15,3.86,1.14,133.1,108.7,23.0,15.0,4.0,34.0,10500.0
805,권명철,3,두,1.44,40.0,0.0,0.0,8.0,3.0,3.0,0.0,1.0,79.1,40.0,4.2,3.92,1.41,99.1,106.1,37.0,23.0,8.0,45.0,3500.0
806,휠러,18,한,1.44,19.0,0.0,0.0,19.0,3.0,9.0,0.0,0.0,101.2,62.0,5.13,4.79,1.59,103.2,111.5,58.0,34.0,12.0,94.0,900000.0
807,양창섭,18,삼,1.43,19.0,0.0,0.0,17.0,7.0,6.0,0.0,0.0,87.1,52.0,5.05,6.01,1.53,105.0,87.4,49.0,34.0,12.0,49.0,2700.0
808,마일영,2,현,1.43,30.0,0.0,0.0,22.0,7.0,4.0,0.0,0.0,130.1,76.0,4.56,4.89,1.54,93.7,87.4,66.0,69.0,16.0,98.0,6100.0
809,이용찬,14,두,1.43,48.0,0.0,0.0,0.0,5.0,5.0,17.0,0.0,51.0,28.0,4.24,3.84,1.41,116.8,132.7,24.0,16.0,3.0,47.0,14500.0
810,저마노,11,삼,1.43,8.0,0.0,0.0,8.0,5.0,1.0,0.0,0.0,45.1,17.0,2.78,3.17,1.13,150.1,131.6,14.0,6.0,3.0,29.0,0.0
811,서재응,8,K,1.43,16.0,0.0,0.0,14.0,5.0,5.0,0.0,0.0,79.1,37.0,4.08,4.26,1.45,100.3,96.2,36.0,25.0,7.0,45.0,50000.0
812,손승락,5,현,1.42,26.0,1.0,0.0,23.0,5.0,10.0,0.0,0.0,134.1,81.0,5.43,4.86,1.5,79.1,88.2,81.0,48.0,18.0,80.0,0.0
813,손승락,6,현,1.42,24.0,0.0,0.0,17.0,6.0,5.0,0.0,2.0,95.0,49.0,4.17,3.23,1.4,86.7,111.9,44.0,21.0,5.0,48.0,3000.0
814,손승락,16,롯,1.42,48.0,0.0,0.0,0.0,7.0,3.0,20.0,0.0,50.2,25.0,4.26,4.54,1.68,122.6,114.9,24.0,24.0,5.0,48.0,70000.0
815,김상수,16,넥,1.42,67.0,0.0,0.0,0.0,6.0,5.0,0.0,21.0,74.0,40.0,4.62,4.13,1.5,113.6,125.7,38.0,34.0,6.0,76.0,6000.0
816,전병두,6,K,1.42,44.0,0.0,0.0,15.0,5.0,8.0,0.0,1.0,101.1,51.0,4.35,3.62,1.42,83.3,100.1,49.0,55.0,8.0,94.0,5500.0
817,이경필,4,두,1.41,21.0,0.0,0.0,20.0,5.0,12.0,0.0,0.0,99.2,59.0,4.7,4.05,1.58,89.2,103.4,52.0,44.0,4.0,49.0,7000.0
818,김진성,14,N,1.41,58.0,0.0,0.0,0.0,3.0,3.0,25.0,1.0,48.1,25.0,4.1,4.52,1.37,127.0,116.7,22.0,26.0,4.0,52.0,4300.0
819,아담,13,N,1.41,17.0,0.0,0.0,16.0,4.0,8.0,0.0,0.0,91.2,48.0,4.12,4.44,1.31,104.2,96.8,42.0,27.0,12.0,70.0,0.0
820,우규민,18,삼,1.41,48.0,0.0,0.0,0.0,4.0,1.0,0.0,10.0,58.2,28.0,4.3,4.34,1.4,123.5,120.6,28.0,12.0,6.0,48.0,70000.0
821,김성민,19,키,1.41,50.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,56.1,17.0,2.56,2.75,1.14,161.9,152.3,16.0,11.0,0.0,38.0,5500.0
822,박진형,17,롯,1.4,45.0,0.0,0.0,9.0,4.0,4.0,2.0,10.0,88.0,51.0,5.11,4.43,1.53,98.5,113.5,50.0,47.0,8.0,95.0,6000.0
823,정성훈,3,두,1.4,48.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,58.1,17.0,2.62,4.44,1.18,158.5,93.7,17.0,14.0,6.0,17.0,2500.0
824,김재윤,18,K,1.39,62.0,0.0,0.0,0.0,7.0,5.0,15.0,0.0,61.0,34.0,4.57,4.6,1.49,115.9,113.2,31.0,15.0,11.0,66.0,11000.0
825,최상덕,2,K,1.39,24.0,1.0,0.0,23.0,8.0,7.0,0.0,0.0,133.0,79.0,4.47,4.87,1.38,95.3,87.4,66.0,33.0,23.0,79.0,14000.0
826,김원형,3,S,1.39,30.0,0.0,0.0,9.0,7.0,7.0,1.0,4.0,79.1,34.0,3.74,4.69,1.32,111.4,89.0,33.0,18.0,13.0,44.0,15000.0
827,노승욱,3,롯,1.39,78.0,0.0,0.0,1.0,2.0,2.0,1.0,13.0,94.1,49.0,4.48,4.42,1.38,94.4,95.7,47.0,17.0,13.0,45.0,2500.0
828,권오준,12,삼,1.38,46.0,0.0,0.0,0.0,1.0,3.0,0.0,10.0,42.2,15.0,2.95,2.31,1.06,129.3,165.5,14.0,13.0,2.0,48.0,15000.0
829,김선우,12,두,1.38,28.0,1.0,0.0,28.0,6.0,9.0,0.0,0.0,163.1,91.0,4.52,4.25,1.37,84.7,90.0,82.0,41.0,13.0,63.0,55000.0
830,이상목,6,롯,1.38,23.0,1.0,0.0,23.0,12.0,8.0,0.0,0.0,138.2,63.0,3.25,4.18,1.12,108.0,83.8,50.0,23.0,17.0,50.0,20000.0
831,오주원,13,넥,1.37,10.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,41.1,13.0,2.4,3.54,1.11,181.9,123.0,11.0,18.0,1.0,31.0,0.0
832,손민한,14,N,1.37,52.0,0.0,0.0,1.0,4.0,4.0,1.0,9.0,48.1,20.0,3.54,5.24,1.45,147.1,100.8,19.0,14.0,5.0,23.0,10000.0
833,박석진,5,삼,1.37,70.0,0.0,0.0,0.0,8.0,0.0,1.0,15.0,62.1,29.0,3.47,3.71,1.06,122.8,114.9,24.0,7.0,4.0,24.0,10000.0
834,유원상,10,한,1.37,29.0,1.0,1.0,27.0,5.0,14.0,0.0,0.0,142.1,89.0,5.5,5.44,1.64,84.0,85.0,87.0,69.0,20.0,82.0,5500.0
836,이승호,3,S,1.37,23.0,2.0,2.0,15.0,5.0,4.0,0.0,2.0,97.0,45.0,4.08,5.06,1.42,102.2,82.5,44.0,50.0,16.0,81.0,9000.0
837,정우람,5,S,1.37,59.0,0.0,0.0,0.0,3.0,1.0,1.0,13.0,42.2,11.0,1.69,3.55,1.06,244.7,116.2,8.0,17.0,3.0,32.0,2000.0
838,손영민,7,K,1.36,54.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,73.0,29.0,3.21,4.01,1.23,122.6,98.1,26.0,29.0,4.0,46.0,2000.0
839,임창용,7,삼,1.36,40.0,0.0,0.0,21.0,5.0,7.0,0.0,3.0,119.1,68.0,4.9,4.11,1.53,80.0,95.5,65.0,44.0,9.0,62.0,50000.0
840,크루세타,10,삼,1.36,26.0,0.0,0.0,20.0,6.0,10.0,0.0,1.0,97.2,62.0,5.25,4.54,1.64,87.8,101.7,57.0,54.0,8.0,78.0,0.0
841,이용찬,19,두,1.36,26.0,0.0,0.0,26.0,7.0,10.0,0.0,0.0,148.1,75.0,4.07,4.31,1.44,101.0,93.9,67.0,45.0,15.0,102.0,23500.0
842,최원호,4,L,1.36,27.0,0.0,0.0,19.0,8.0,7.0,0.0,0.0,96.2,55.0,4.75,4.23,1.59,88.4,99.2,51.0,40.0,9.0,64.0,7200.0
843,맥그레거,16,넥,1.36,14.0,0.0,0.0,14.0,6.0,3.0,0.0,0.0,90.0,56.0,5.2,5.05,1.42,101.0,102.5,52.0,20.0,13.0,61.0,900000.0
844,강영식,8,롯,1.36,64.0,0.0,0.0,0.0,6.0,2.0,2.0,16.0,56.1,21.0,2.88,3.77,0.85,140.1,106.8,18.0,13.0,6.0,41.0,6800.0
845,함덕주,15,두,1.35,68.0,0.0,0.0,0.0,7.0,2.0,2.0,16.0,61.2,30.0,3.65,4.28,1.59,128.5,111.0,25.0,46.0,4.0,76.0,10000.0
846,전병두,11,S,1.35,51.0,0.0,0.0,4.0,3.0,3.0,3.0,8.0,92.1,44.0,3.8,4.51,1.33,108.0,91.0,39.0,56.0,8.0,87.0,13000.0
847,김수경,6,현,1.34,17.0,0.0,0.0,17.0,4.0,7.0,0.0,0.0,85.2,41.0,3.78,3.37,1.54,95.5,107.3,36.0,36.0,5.0,64.0,38000.0
848,김성현,10,넥,1.34,24.0,0.0,0.0,14.0,7.0,8.0,0.0,0.0,90.0,51.0,4.9,4.8,1.47,92.8,94.8,49.0,41.0,10.0,60.0,2300.0
849,차우찬,14,삼,1.34,69.0,0.0,0.0,0.0,3.0,4.0,0.0,21.0,82.0,57.0,5.6,4.89,1.56,94.5,107.9,51.0,42.0,9.0,79.0,24000.0
850,진해수,17,L,1.34,75.0,0.0,0.0,0.0,3.0,3.0,1.0,24.0,52.2,23.0,3.93,4.25,1.27,123.1,112.9,23.0,15.0,6.0,48.0,11000.0
851,이혜천,5,두,1.34,30.0,1.0,1.0,21.0,7.0,4.0,0.0,3.0,109.1,58.0,3.95,4.77,1.45,104.7,86.7,48.0,54.0,10.0,59.0,9500.0
852,최금강,16,N,1.34,52.0,0.0,0.0,11.0,11.0,4.0,2.0,4.0,108.0,65.0,5.0,5.02,1.47,101.8,102.6,60.0,36.0,13.0,84.0,9200.0
853,하리칼라,5,삼,1.34,11.0,0.0,0.0,10.0,3.0,2.0,0.0,0.0,51.0,22.0,3.71,3.58,1.51,114.9,118.8,21.0,11.0,4.0,31.0,0.0
854,정대현,14,롯,1.34,60.0,0.0,0.0,0.0,4.0,2.0,2.0,13.0,42.0,19.0,4.07,4.4,1.26,133.9,120.1,19.0,13.0,2.0,27.0,50000.0
855,임찬규,17,L,1.34,27.0,0.0,0.0,26.0,6.0,10.0,0.0,0.0,124.1,70.0,4.63,4.81,1.43,104.5,100.5,64.0,45.0,12.0,113.0,6500.0
856,구대성,7,한,1.33,43.0,0.0,0.0,0.0,1.0,6.0,26.0,0.0,42.1,17.0,3.19,2.78,1.25,126.1,144.4,15.0,12.0,3.0,37.0,63000.0
